iter	RMSE
0	0.2738156799
1	0.2696507106
2	0.2656595748
3	0.2617623993
4	0.258213575
5	0.2546598952
6	0.2513413787
7	0.248217958
8	0.2451395422
9	0.2423493528
10	0.2396403128
11	0.237052117
12	0.2344915261
13	0.2320492005
14	0.2297597039
15	0.2276143743
16	0.2257698108
17	0.2237956206
18	0.2219482709
19	0.2203382229
20	0.2184425171
21	0.2167668416
22	0.2151006427
23	0.2134074969
24	0.2119006183
25	0.2106340221
26	0.2092388957
27	0.2079011396
28	0.2068339528
29	0.2056095056
30	0.2044010841
31	0.2032105537
32	0.2021227365
33	0.2011617717
34	0.2002405056
35	0.1991842559
36	0.1982563233
37	0.1974096288
38	0.1965789171
39	0.1957110536
40	0.1948503674
41	0.1940671779
42	0.1932798174
43	0.1924670749
44	0.1915999822
45	0.1908924969
46	0.1901832048
47	0.1895008495
48	0.1887735152
49	0.1881931367
50	0.187718215
51	0.187014389
52	0.1865719407
53	0.1859907192
54	0.1854841346
55	0.1850581212
56	0.184327115
57	0.1838293314
58	0.1833140636
59	0.1828470812
60	0.1824015252
61	0.1819200244
62	0.1814801622
63	0.1810121605
64	0.1803972048
65	0.1799697679
66	0.1795519117
67	0.1792501798
68	0.1789359146
69	0.1784952506
70	0.178068012
71	0.177661981
72	0.1773811076
73	0.1769672875
74	0.1766085544
75	0.1762219549
76	0.1757529648
77	0.1753167661
78	0.1750047726
79	0.1746656515
80	0.1743343152
81	0.174041056
82	0.1737772414
83	0.1734969461
84	0.1732486221
85	0.1729524469
86	0.1726548779
87	0.1723962338
88	0.1721250255
89	0.1718653007
90	0.1715469425
91	0.1712885589
92	0.1710572756
93	0.1707943044
94	0.1705832324
95	0.1702074836
96	0.1699193105
97	0.1697123054
98	0.1694951206
99	0.16930227
100	0.1691025394
101	0.1688746789
102	0.1686598424
103	0.168449033
104	0.1681849152
105	0.1679443144
106	0.1677491845
107	0.167546605
108	0.1673694334
109	0.1672017933
110	0.1670441801
111	0.166875533
112	0.1666337388
113	0.1664691951
114	0.1663033414
115	0.1661114381
116	0.1659629785
117	0.1658056348
118	0.1655600295
119	0.1653574185
120	0.1651905295
121	0.164980065
122	0.1648190729
123	0.1646619838
124	0.1645332002
125	0.1643842687
126	0.1642297196
127	0.1641103921
128	0.1639747342
129	0.1638431003
130	0.163592626
131	0.1634661764
132	0.1633432645
133	0.1631970114
134	0.1630384149
135	0.1628752993
136	0.1627515661
137	0.162637209
138	0.1625213171
139	0.1623934341
140	0.1622861748
141	0.162150604
142	0.1620469695
143	0.1619246225
144	0.1617992996
145	0.1616600259
146	0.1615022104
147	0.1613987207
148	0.161285683
149	0.1611939709
150	0.1611031859
151	0.161013297
152	0.1608935583
153	0.160784831
154	0.1606803161
155	0.1605812161
156	0.1604644292
157	0.1603452266
158	0.1602386774
159	0.1601252767
160	0.1600472588
161	0.1599010537
162	0.1597862384
163	0.159659685
164	0.159563643
165	0.1594267401
166	0.1593678987
167	0.1592838734
168	0.1592230494
169	0.1591493375
170	0.1590578314
171	0.1589678416
172	0.1588667825
173	0.1587466272
174	0.1586763659
175	0.1586110223
176	0.1585409131
177	0.1584496227
178	0.158375952
179	0.1582375151
180	0.1580772675
181	0.1579759375
182	0.1578979582
183	0.1578245203
184	0.1577513128
185	0.1576498239
186	0.1575840683
187	0.1575240495
188	0.1574615153
189	0.1573741935
190	0.1573073554
191	0.157230695
192	0.1571833933
193	0.1571249895
194	0.1570091755
195	0.1568436681
196	0.1567727243
197	0.1567261457
198	0.1566455532
199	0.1565829625
200	0.1565540577
201	0.156486861
202	0.1564594454
203	0.1563299238
204	0.1562645129
205	0.1562096211
206	0.1561477398
207	0.1560488477
208	0.1559866064
209	0.1559266841
210	0.1558227115
211	0.1557988081
212	0.1557488235
213	0.1557170173
214	0.1556594909
215	0.1555837711
216	0.1555111022
217	0.1553791344
218	0.1553240477
219	0.1552516346
220	0.1552034048
221	0.1551779482
222	0.155138992
223	0.15511268
224	0.1550561442
225	0.154993806
226	0.154928343
227	0.15484577
228	0.1548108629
229	0.1547508712
230	0.1546793052
231	0.1546498481
232	0.1546163508
233	0.1545585809
234	0.1544884581
235	0.1544565623
236	0.1543468114
237	0.1543120583
238	0.1542761227
239	0.1542282676
240	0.1541604424
241	0.1541073556
242	0.1540704762
243	0.1540170009
244	0.1539726378
245	0.1539572905
246	0.1539006655
247	0.153868877
248	0.1538225241
249	0.1537571853
250	0.1536865515
251	0.1536690085
252	0.1536169988
253	0.1535774209
254	0.153511969
255	0.1534477007
256	0.1533579781
257	0.1533120835
258	0.153291421
259	0.1532474584
260	0.1532017808
261	0.1531730203
262	0.1531400249
263	0.1530497109
264	0.1529874524
265	0.1529530999
266	0.1529329247
267	0.1528816022
268	0.1528137532
269	0.1527566638
270	0.1526737409
271	0.152622743
272	0.152579847
273	0.152539448
274	0.1524966735
275	0.1524681971
276	0.1523844431
277	0.1523433868
278	0.152309971
279	0.1522608123
280	0.1522145201
281	0.1521601171
282	0.1520782092
283	0.1520110413
284	0.1519444861
285	0.1518938787
286	0.1518683112
287	0.1517816674
288	0.1517301659
289	0.1516759519
290	0.1515920536
291	0.1515459317
292	0.1515241326
293	0.1515126066
294	0.1514299168
295	0.1513852306
296	0.1513517176
297	0.1513046408
298	0.1512652739
299	0.1511993062
300	0.151170166
301	0.1511495211
302	0.1510978379
303	0.1510421046
304	0.1509921013
305	0.150952674
306	0.150926009
307	0.1508981743
308	0.1508681615
309	0.1508186388
310	0.1507835995
311	0.1507350431
312	0.1507231264
313	0.1506356722
314	0.1506136187
315	0.1505626011
316	0.1505390949
317	0.1504917996
318	0.1504641387
319	0.150416213
320	0.1503844455
321	0.150356473
322	0.150316513
