iter	RMSE
323	0.1502711883
324	0.1502436141
325	0.1502036612
326	0.1501666529
327	0.1501418207
328	0.1501313241
329	0.1500845493
330	0.1500028301
331	0.1499811672
332	0.1499606771
333	0.1499288498
334	0.149908048
335	0.1498706158
336	0.1498456212
337	0.1498222327
338	0.149772626
339	0.1497331596
340	0.1497030833
341	0.1496487739
342	0.1496111412
343	0.1495836218
344	0.1495587722
345	0.1495331868
346	0.1495199002
347	0.1494708206
348	0.1494349616
349	0.1494092531
350	0.1493667173
351	0.1493494224
352	0.1493271246
353	0.1492809181
354	0.1492241433
355	0.1491533636
356	0.1491105039
357	0.149076902
358	0.1490334737
359	0.1490112543
360	0.1489953862
361	0.1489609798
362	0.1489245834
363	0.1488790291
364	0.1488560467
365	0.1488292446
366	0.1488052057
367	0.1487543956
368	0.1487144754
369	0.1486696031
370	0.1486346313
371	0.1485947046
372	0.148573755
373	0.1485371546
374	0.1485011974
375	0.1484691168
376	0.1484385464
377	0.1483856359
378	0.1483631844
379	0.1483281061
380	0.1482363971
381	0.1482081368
382	0.148191219
383	0.1481738948
384	0.1481168467
385	0.1480834905
386	0.1480495438
387	0.1480203543
388	0.1479883812
389	0.1479690202
390	0.147915058
391	0.1478854304
392	0.147835174
393	0.1477904775
394	0.1477613964
395	0.147729423
396	0.1476995821
397	0.147650372
398	0.1476199902
399	0.1475944451
400	0.1475570955
401	0.1475178243
402	0.147486068
403	0.1474415076
404	0.1474213628
405	0.1473915616
406	0.147350939
407	0.1473240488
408	0.1473048557
409	0.147282529
410	0.1472670582
411	0.1472481508
412	0.1471754404
413	0.1471293941
414	0.147090647
415	0.1470650065
416	0.1470289382
417	0.1469972397
418	0.1469718703
419	0.1469207713
420	0.1467960197
421	0.1467404847
422	0.1467083059
423	0.1466890661
424	0.1466008511
425	0.1465529574
426	0.1465324899
427	0.1465048727
428	0.1464796963
429	0.1464433658
430	0.1464106565
431	0.1463930052
432	0.1463477868
433	0.1463314788
434	0.1463072039
435	0.1462897514
436	0.1462411337
437	0.1462175294
438	0.1462014929
439	0.1461647586
440	0.1461408342
441	0.1461122849
442	0.1460822186
443	0.1460555015
444	0.1460314957
445	0.1459993485
446	0.1459582878
447	0.1459314959
448	0.1459096359
449	0.1458781343
450	0.145861057
451	0.1458463268
452	0.1458171743
453	0.1457948474
454	0.1457787185
455	0.1457570639
456	0.1457321393
457	0.1457086964
458	0.1456262413
459	0.1455990863
460	0.1455663578
461	0.1455408266
462	0.1455184558
463	0.1454917394
464	0.1454768187
465	0.1454613849
466	0.1454429021
467	0.1454207344
468	0.1454012815
469	0.1452893268
470	0.1452542095
471	0.1452387008
472	0.1452185457
473	0.1451582818
474	0.1451175361
475	0.1450923718
476	0.1450534868
477	0.145030107
478	0.1450033896
479	0.1449846972
480	0.1449613686
481	0.1449482956
482	0.1449250723
483	0.1448480031
484	0.1448218999
485	0.1448060501
486	0.1447916556
487	0.1447714151
488	0.144752934
489	0.1447251482
490	0.1446937686
491	0.1446786488
492	0.1446620573
493	0.1446283354
494	0.1446022345
495	0.1445441781
496	0.1445112349
497	0.1444965416
498	0.1444803631
499	0.1444289817
500	0.1444106993
501	0.1443771006
502	0.1443451022
503	0.1443294389
504	0.1443042777
505	0.1442709452
506	0.1442540642
507	0.1442454039
508	0.1441436969
509	0.14412302
510	0.144108293
511	0.1440848748
512	0.1440510728
513	0.1440305093
514	0.1440160198
515	0.1439623071
516	0.1439297193
517	0.1438958203
518	0.143856574
519	0.1438401705
520	0.1438088476
521	0.1437707233
522	0.1437387279
523	0.143719454
524	0.143649794
525	0.1436301433
526	0.1436215374
527	0.1435878531
528	0.1435492136
529	0.1435383363
530	0.1435272657
531	0.1434933387
532	0.1434716537
533	0.1434472517
534	0.1434082438
535	0.1433939536
536	0.1433744545
537	0.143349042
538	0.1433226823
539	0.1433148767
540	0.1432950474
541	0.143282899
542	0.1432670189
543	0.1432432197
544	0.1431973769
545	0.1431285924
546	0.1431043346
547	0.1430612114
548	0.1430338949
549	0.1430103338
550	0.1429857909
551	0.1429653397
552	0.1429513586
553	0.1429047197
554	0.1428709296
555	0.1428451321
556	0.1427966083
557	0.1427761863
558	0.1427472701
559	0.1426888138
560	0.1426746107
561	0.1426587469
562	0.1426387574
563	0.1425502194
564	0.1425293568
565	0.1424944998
566	0.1424753958
567	0.1424538807
568	0.1424329962
569	0.1423948173
570	0.142368327
571	0.1423549714
572	0.1423380287
573	0.1423158363
574	0.1422926379
575	0.1422792303
576	0.142258859
577	0.1422208956
578	0.1422000671
579	0.1421827251
580	0.142169477
581	0.1421230464
582	0.1420987006
583	0.1420716722
584	0.1420614292
585	0.1420455143
586	0.1420273211
587	0.1420075694
588	0.1419666841
589	0.1419341005
590	0.1419147169
591	0.1418955546
592	0.1418559821
593	0.1418302601
594	0.1418108135
595	0.1417879484
596	0.1417677936
597	0.1417412597
598	0.1417243909
599	0.1417066347
